,Unnamed: 0,business_id,metric_1,metric_2,stars,recent_stars,review_count,human_rank
28,28,UQLWfOGTF-7T2EQlUT92Zg,0.6991928555071354,0.8,4.5,4.266666666666667,30,8
31,31,_O_KBH1MStcUkS1xk5pxsg,0.7392203954772817,0.8055555555555556,4.5,4.305555555555555,36,9
38,38,h_rcMQtglIiAs-Oc5d8Ozw,0.7306591601151488,0.8260869565217391,3.5,4.065217391304348,46,10
19,19,McQZweV9DLoNzbJWksPJ6w,0.806906545,0.8787878787878788,4.5,4.606060606060606,33,15
33,33,bACIZGdHRFfNtrufH0wMbQ,0.7261933068243357,0.7692307692307693,4.5,4.653846153846154,26,5
7,7,6wqxuBt2InDipRuUj8BNuQ,0.7498040124773979,0.8571428571428571,4,4.166666666666667,42,11
18,18,MOy8qGtBOoJzRnHnv3Y3JQ,0.6989773292912216,0.8048780487804879,4.5,4.243902439024391,41,6
34,34,bpEiVcivZFHixcDGKXQQJA,0.6632953223717564,0.7647058823529411,4,3.764705882352941,34,3
36,36,e27sItQBZuFbBPz_Ucq76A,0.6641274991844381,0.7142857142857143,4,3.971428571428572,35,2
6,6,5asvaAT-jDbOnCM3iPlScw,0.7132357068892036,0.8214285714285714,4.5,4.285714285714286,28,7
21,21,Q9poenJ9SS3agpPo4Pgyyg,0.7696646619191829,0.8297872340425532,4.5,4.553191489361702,47,14
23,23,SLWYIXWq2hAJAErn_icdXw,0.7830552588751976,0.85106383,4.5,4.489361702,47,13
30,30,ZSaKeh2-3U9BiMMqZA0z9Q,0.7940009167561164,0.9230769230769232,4.5,4.5,26,18
9,9,99zoELPcbwRBUqiPoaPqiQ,0.8979014147605214,0.9642857142857144,5,4.964285714285714,28,20
12,12,E6AnAHwEXEWwjbaRw5xyUg,0.6895054620173242,0.7777777777777778,4.5,4.444444444444445,27,4
24,24,SUpQ7uFtXvdzgVubewMV8g,0.7801395540054028,0.8846153846153846,4,4.230769230769231,26,12
44,44,t2vxEpIP8ntB4OBHrNAcVw,0.5428231924824003,0.5833333333333334,3.5,3.5,36,1
16,16,KqUinf0QEeiZdxko2dFEsA,0.8223248938488406,0.9302325581395348,4.5,4.697674418604652,43,16
1,1,1w40T5J6br425rMvpS1zgQ,0.8370642641186714,0.92,5,4.8,25,19
43,43,s30pUay0opzvriFweACWEA,0.8035895694047213,0.9166666666666666,5,4.75,48,17
