,business_id,composite_score,name,address,city,state,postal_code,latitude,longitude,stars_x,review_count,is_open,attributes,categories,hours
0,99zoELPcbwRBUqiPoaPqiQ,0.9244552112051417,Bold Coffee Bar,1623 Ridge Ave,Philadelphia,PA,19130,39.9699772,-75.1639247,5.0,28,1,"{'RestaurantsReservations': 'False', 'OutdoorSeating': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'HasTV': 'False', 'Caters': 'False', 'RestaurantsTableService': 'False', 'BYOB': 'False', 'RestaurantsTakeOut': 'True', 'BikeParking': 'False', 'DogsAllowed': 'True', 'Alcohol': ""u'none'"", 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True', 'BusinessAcceptsBitcoin': 'False', 'HappyHour': 'False', 'WiFi': ""u'free'"", 'RestaurantsDelivery': 'False'}","Coffee & Tea, Food, Cafes, Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '7:0-15:0', 'Wednesday': '7:0-15:0', 'Thursday': '7:0-15:0', 'Friday': '8:0-12:0', 'Saturday': '8:0-15:0'}"
1,dc98lqGzBSpZZExT_LSiCA,0.8955540972727317,Thunder Mug Cafe,4233 Ridge Ave,Philadelphia,PA,19129,40.0093857912,-75.1948174462,5.0,27,1,"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'WheelchairAccessible': 'False', 'DogsAllowed': 'False', 'BikeParking': 'False', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsBitcoin': 'False', 'RestaurantsTakeOut': 'False', 'Caters': 'False', 'OutdoorSeating': 'True', 'BusinessAcceptsCreditCards': 'True'}","Coffee & Tea, Food","{'Monday': '8:0-15:0', 'Tuesday': '8:0-15:0', 'Wednesday': '8:0-15:0', 'Thursday': '8:0-15:0', 'Friday': '8:0-15:0', 'Saturday': '8:0-15:0', 'Sunday': '8:0-15:0'}"
9,McQZweV9DLoNzbJWksPJ6w,0.8356592198212942,Pilgrim Roasters,4120 Main St,Philadelphia,PA,19127,40.0226761,-75.2192502,4.5,33,1,"{'RestaurantsGoodForGroups': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'GoodForKids': 'False', 'BikeParking': 'True', 'NoiseLevel': ""u'quiet'"", 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': None, u'street': True, u'lot': True, u'validated': False}"", 'RestaurantsPriceRange2': '1', 'RestaurantsAttire': ""'casual'"", 'RestaurantsReservations': 'False'}","Coffee & Tea, Coffee Roasteries, Food, Restaurants, Cafes","{'Monday': '7:0-15:0', 'Tuesday': '7:0-15:0', 'Wednesday': '7:0-15:0', 'Thursday': '7:0-15:0', 'Friday': '7:0-15:0', 'Saturday': '8:0-15:0', 'Sunday': '8:0-15:0'}"
14,9A5Gw0At6so0x-vWM0_JZw,0.8020097457562332,Grindcore House,1515 S 4th St,Philadelphia,PA,19147,39.929015,-75.1517365,4.5,54,1,"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""u'casual'"", 'OutdoorSeating': 'True', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'none'"", 'Ambience': ""{'touristy': False, 'hipster': True, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'HasTV': 'False', 'Caters': 'False', 'RestaurantsPriceRange2': '1', 'HappyHour': 'False', 'NoiseLevel': ""u'average'"", 'RestaurantsDelivery': 'True', 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': True}"", 'WiFi': ""u'free'""}","Coffee & Tea, Vegetarian, Food, Restaurants, Vegan","{'Monday': '0:0-0:0', 'Tuesday': '8:0-16:0', 'Wednesday': '8:0-16:0', 'Thursday': '8:0-13:30', 'Friday': '8:0-16:0', 'Saturday': '8:0-16:0', 'Sunday': '8:0-16:0'}"
15,T0qzsFxkHK9w1afnmns4fw,0.7968630091390676,Konditori,40 S 17th St,Philadelphia,PA,19103,39.9518382614,-75.1689804495,4.0,36,1,"{'OutdoorSeating': 'False', 'BusinessParking': ""{'garage': None, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'BikeParking': 'True', 'RestaurantsDelivery': 'True', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2'}","Coffee & Tea, Juice Bars & Smoothies, Bakeries, Bagels, Food","{'Monday': '6:30-20:0', 'Tuesday': '6:30-20:0', 'Wednesday': '6:30-20:0', 'Thursday': '6:30-20:0', 'Friday': '6:30-21:0', 'Saturday': '6:30-21:0', 'Sunday': '6:30-21:0'}"
16,Q9poenJ9SS3agpPo4Pgyyg,0.7937139143335059,Ray's Café & Teahouse,141 N 9th St,Philadelphia,PA,19107,39.9546207,-75.1542759,4.5,47,1,"{'WiFi': ""u'no'"", 'RestaurantsGoodForGroups': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""u'quiet'"", 'RestaurantsPriceRange2': '2', 'HasTV': 'False', 'OutdoorSeating': 'False', 'Caters': 'False', 'BikeParking': 'True', 'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""u'none'"", 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'RestaurantsReservations': 'True', 'HappyHour': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsDelivery': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}""}","Coffee & Tea, Chinese, Restaurants, Food","{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0', 'Saturday': '11:30-17:0'}"
17,QTjtz-bfm8Yrrv6t0PP0FQ,0.7934226261377336,Knockbox Cafe,405 S 45th St,Philadelphia,PA,19104,39.9514434,-75.2123412,4.0,25,1,"{'OutdoorSeating': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Alcohol': ""u'none'"", 'RestaurantsTableService': 'False', 'Caters': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'HasTV': 'False'}","Coffee & Tea, Bagels, Food, Restaurants, Sandwiches, Bakeries","{'Monday': '7:0-17:0', 'Tuesday': '7:0-17:0', 'Wednesday': '7:0-17:0', 'Thursday': '7:0-17:0', 'Friday': '7:0-17:0', 'Saturday': '7:0-19:0', 'Sunday': '7:0-19:0'}"
18,6wqxuBt2InDipRuUj8BNuQ,0.7927396723202295,La Colombe Coffee,1414 South Penn Square,Philadelphia,PA,19102,39.9515435,-75.1650721,4.0,42,1,"{'BusinessParking': ""{'valet': False, 'garage': False, 'street': True, 'lot': False, 'validated': False}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'False', 'BusinessAcceptsBitcoin': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'NoiseLevel': ""u'average'"", 'WiFi': ""u'no'"", 'ByAppointmentOnly': 'False', 'GoodForKids': 'True', 'OutdoorSeating': 'True', 'RestaurantsDelivery': 'False'}","Coffee & Tea, Food","{'Monday': '0:0-0:0', 'Tuesday': '7:0-18:0', 'Wednesday': '7:0-18:0', 'Thursday': '7:0-18:0', 'Friday': '7:0-18:0', 'Saturday': '8:0-17:0', 'Sunday': '8:0-18:0'}"
19,GOSVLhjUT6TnrPhkkmDOpw,0.7690703160092234,Vineyards Cafe,847 N 16th St,Philadelphia,PA,19130,39.969939,-75.163026,4.5,50,1,"{'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""u'none'"", 'HasTV': 'False', 'GoodForKids': 'True', 'WheelchairAccessible': 'True', 'NoiseLevel': ""'average'"", 'OutdoorSeating': 'True', 'DogsAllowed': 'False', 'HappyHour': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForMeal': ""{u'breakfast': True, u'brunch': True, u'lunch': True, u'dinner': False, u'latenight': False, u'dessert': None}"", 'RestaurantsTakeOut': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsTableService': 'False', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'BusinessAcceptsBitcoin': 'False', 'ByAppointmentOnly': 'False', 'RestaurantsAttire': ""'casual'"", 'Ambience': ""{u'divey': False, u'hipster': True, u'casual': True, u'touristy': False, u'trendy': None, u'intimate': False, u'romantic': False, u'classy': None, u'upscale': False}"", 'BikeParking': 'False', 'Caters': 'False', 'RestaurantsDelivery': 'True'}","Coffee & Tea, Cafes, Food, Creperies, Internet Cafes, Restaurants, Breakfast & Brunch","{'Monday': '0:0-0:0', 'Tuesday': '7:0-15:0', 'Wednesday': '7:0-15:0', 'Thursday': '7:0-15:0', 'Friday': '7:0-15:0', 'Saturday': '8:0-15:0', 'Sunday': '8:0-15:0'}"
20,h_rcMQtglIiAs-Oc5d8Ozw,0.7688304425257704,Old City Coffee,1136 Arch St,Philadelphia,PA,19107,39.9531371442,-75.1592822517,3.5,46,1,"{'OutdoorSeating': 'True', 'Alcohol': ""u'none'"", 'RestaurantsPriceRange2': '1', 'Caters': 'False', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': True, 'lot': False, 'valet': False}"", 'WheelchairAccessible': 'True', 'DogsAllowed': 'False', 'RestaurantsDelivery': 'True', 'WiFi': ""u'free'""}","Coffee & Tea, Food, Coffee Roasteries","{'Monday': '0:0-0:0', 'Tuesday': '8:0-18:0', 'Wednesday': '8:0-18:0', 'Thursday': '8:0-18:0', 'Friday': '8:0-18:0', 'Saturday': '8:0-18:0', 'Sunday': '8:0-18:0'}"
